month,iip,mining,manufacturing,energy,water
01/2017,96.8,85.71,97.47,110.62,98.09
02/2017,96.26,85.7,96.88,108.89,100.94
03/2017,114.49,104.71,116.5,117.5,100.63
04/2017,118.14,97.07,122.18,123.8,106.04
05/2017,117.49,99.15,120.08,130.85,102.65
06/2017,112.95,96.47,114.03,133.93,107.97
07/2017,113.89,86.57,116.56,140.84,107.76
08/2017,122.31,80.45,128.49,148.4,110.44
09/2017,126.63,82.94,133.99,146.67,107.09
10/2017,128.76,95.37,135.62,134.78,107.08
11/2017,129.21,90.06,137.47,132.59,111.18
12/2017,131.75,91.6,140.23,134.92,114.21
01/2018,126.8,100.74,131.86,132.84,114.39
02/2018,101.72,81.54,104.11,116.74,105.55
03/2018,126.79,99.41,132.37,132.36,105.1
04/2018,125.04,95.78,129.33,144.01,107.72
05/2018,128.72,97.55,132.48,155.18,113.05
06/2018,127.27,94.66,131.12,155.03,114.2
07/2018,129.62,87.28,134.5,166.34,114.79
08/2018,135.35,78.58,144.23,164.84,116.04
09/2018,134.43,82.67,142.71,160.23,114.81
10/2018,139.41,89.92,147.7,162.37,116.96
11/2018,143.13,92.71,152.68,157.7,118.29
12/2018,145.09,95.17,154.54,159.27,121.66
01/2019,134.05,95.26,141.35,144.93,119.02
02/2019,108.37,78.97,111.26,135.78,111.57
03/2019,134.77,102.74,139.97,152.11,113.76
04/2019,134.56,97.12,139.54,162.47,117.55
05/2019,138.69,99.61,143.95,167.69,119.3
06/2019,134.1,93.15,138.61,170.87,123.91
07/2019,141.57,87.93,149.37,175.28,122.54
08/2019,149.27,85.34,160.6,172.85,124.83
09/2019,148.62,82.46,161.28,162.61,138.12
10/2019,152.9,92.61,164.66,165.02,136.23
11/2019,146.74,86.76,157.17,167.83,138.24
12/2019,147.4,90.09,157.68,164.11,144.26
01/2020,123.31,81.77,129.3,146.25,124.63
02/2020,128.9,88.26,134.35,154.21,129.7
03/2020,137.63,92.37,143.56,170.08,128.75
04/2020,116.48,86.87,117.95,155.42,122.91
05/2020,130.64,88.37,134.03,177.49,129.45
06/2020,140.09,85.56,145.65,190.79,137.61
07/2020,145.15,84.89,152.04,195.53,139.26
